title,mixed fandom,ships,characters,hits,kudos,published
Перья и чешуя,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Dabi | Todoroki Touya/Shigaraki Tomura | Shimura Tenko'],"['Dabi | Todoroki Touya', 'Shigaraki Tomura | Shimura Tenko']",30,7,19 Mar 2023
Collared Freedom,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Bakugou Katsuki/Midoriya Izuku', 'Bakugou Katsuki & Midoriya Izuku & Todoroki Shouto', 'Midoriya Izuku & Monoma Neito', 'Midoriya Izuku & Shinsou Hitoshi', 'Jirou Kyouka/Yaoyorozu Momo', 'Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Kaminari Denki & Kirishima Eijirou']","['Bakugou Katsuki', 'Midoriya Izuku', 'Todoroki Shouto', 'Monoma Neito', 'Shinsou Hitoshi', 'Aizawa Shouta | Eraserhead', 'Nedzu (My Hero Academia)', 'Kirishima Eijirou', 'Kaminari Denki', 'Uraraka Ochako', 'Shouji Mezou', 'Ashido Mina', 'Takami Keigo | Hawks']",1340,118,19 Mar 2023
fire at will,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Dabi | Todoroki Touya/Takami Keigo | Hawks', 'League of Villains & Takami Keigo | Hawks']","['Takami Keigo | Hawks', 'Dabi | Todoroki Touya', 'Hero Public Safety Commission (My Hero Academia)', 'League of Villains (My Hero Academia)', 'Shie Hassaikai | Eight Precepts of Death', 'Chisaki Kai | Overhaul']",132,11,19 Mar 2023
Up To Us | KiriDeku,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],"['Bakugou Katsuki/Kirishima Eijirou', 'Bakugou Katsuki & Midoriya Izuku', 'Kirishima Eijirou/Midoriya Izuku', 'Todoroki Shouto/Yaoyorozu Momo', 'Jirou Kyouka/Kaminari Denki', 'Kaminari Denki/Shinsou Hitoshi', 'Dabi | Todoroki Touya/Original Female Character(s)', 'Bakugou Katsuki & Uraraka Ochako']","['Kirishima Eijirou', 'Bakugou Katsuki', 'Midoriya Izuku', 'Dabi | Todoroki Touya', 'Todoroki Shouto', 'Jirou Kyouka', 'Kaminari Denki', 'Shinsou Hitoshi']",102,1,19 Mar 2023
soap mask,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],['Bakugou Katsuki/Midoriya Izuku'],"['Bakugou Katsuki', 'Midoriya Izuku', 'Uraraka Ochako']",2019,138,19 Mar 2023
The 100 Girlfriends Who Really Really Really Really Really Love Deku!~,"['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia, 君のことが大大大大大好きな100人の彼女 | Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo (Manga)']","['Bakugou Katsuki/Midoriya Izuku', 'Midoriya Izuku/Uraraka Ochako', 'Midoriya Izuku & Yagi Toshinori | All Might', 'Other Relationship Tags to Be Added', 'Kirishima Eijirou/Midoriya Izuku']","['Midoriya Izuku', 'Bakugou Katsuki', 'Uraraka Ochako', 'Yagi Toshinori | All Might', ""Bakugou Katsuki's Parents"", 'Midoriya Inko', 'The God Of Love (100 Kanojo)', 'Other Character Tags to Be Added', 'Kirishima Eijirou', 'Aizawa Shouta | Eraserhead', 'Class 1-A (My Hero Academia)']",8154,174,19 Mar 2023
The Story of Us- that Never Was,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Bakugou Katsuki/Midoriya Izuku', 'Iida Tenya/Uraraka Ochako']","['Midoriya Izuku', 'Bakugou Katsuki', 'Kirishima Eijirou', 'Iida Tenya', 'Uraraka Ochako', 'Midoriya Inko']",2516,83,19 Mar 2023
Hatred Burns Bright (Let Me Hate You),['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],"['Class 1-A & Midoriya Izuku', 'Midoriya Izuku & Uraraka Ochako', 'Iida Tenya & Midoriya Izuku', 'Bakugou Katsuki & Midoriya Izuku']","['Midoriya Izuku', 'Bakugou Katsuki', 'Uraraka Ochako', 'Iida Tenya', 'Class 1-A (My Hero Academia)']",6279,647,19 Mar 2023
Gone,['Fandoms:\n僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],[],"['Class 1-A (My Hero Academia)', 'Midoriya Izuku', 'Pro Heroes (My Hero Academia)', 'Sensei | All For One', 'Kurogiri (My Hero Academia)']",34,,19 Mar 2023
Cut from the Same Cloth,"['Fandoms:\nKill la Kill (Anime & Manga), 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia']",[],"['Matoi Ryuuko', 'Midoriya Izuku', 'Bakugou Katsuki', 'Kiryuuin Satsuki', 'Senketsu (Kill la Kill)', 'Mankanshoku Mako', 'Yagi Toshinori | All Might', 'Uraraka Ochako', 'Kirishima Eijirou', 'Ashido Mina', 'Sanageyama Uzu', 'Inumuta Houka', 'Jakuzure Nonon', 'Gamagoori Ira']",6502,126,19 Mar 2023
