ships,dates
Aizawa Shouta | Eraserhead & Iida Tensei | Ingenium,02 Apr 2023
Eri & Shinsou Hitoshi,02 Apr 2023
Aizawa Shouta | Eraserhead & Eri,02 Apr 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,29 Mar 2023
Bakugou Katsuki/Midoriya Izuku/Shinsou Hitoshi/Todoroki Shouto,29 Mar 2023
Midoriya Izuku/Shinsou Hitoshi,29 Mar 2023
Bakugou Katsuki/Shinsou Hitoshi,29 Mar 2023
Shinsou Hitoshi/Todoroki Shouto,29 Mar 2023
Bakugou Katsuki/Midoriya Izuku,29 Mar 2023
Midoriya Izuku/Todoroki Shouto,29 Mar 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,31 Mar 2023
Minor or Background Relationship(s),31 Mar 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,31 Mar 2023
Shinsou Hitoshi & Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi,01 Apr 2023
Shinsou Hitoshi & Yamada Hizashi | Present Mic,01 Apr 2023
Kirishima Eijirou & Shinsou Hitoshi,01 Apr 2023
Class 1-A & Shinsou Hitoshi,01 Apr 2023
Class 1-C & Shinsou Hitoshi,01 Apr 2023
Midoriya Izuku & Shinsou Hitoshi,01 Apr 2023
Shinsou Hitoshi & Shinsou Hitoshi's Family,01 Apr 2023
Aizawa Shouta | Eraserhead & Shinsou Hitoshi & Yamada Hizashi | Present Mic,28 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,28 Mar 2023
Aizawa Shouta | Eraserhead & Shirakumo Oboro,29 Mar 2023
Aizawa Shouta | Eraserhead & Shirakumo Oboro & Yamada Hizashi | Present Mic,29 Mar 2023
Aizawa Shouta | Eraserhead & Todoroki Shouto,01 Apr 2023
Aizawa Shouta | Eraserhead & Todoroki Shouto,31 Mar 2023
Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,31 Mar 2023
past - Relationship,31 Mar 2023
Aizawa Shouta | Eraserhead/Shirakumo Oboro/Yamada Hizashi | Present Mic,31 Mar 2023
Aizawa Shouta | Eraserhead & Todoroki Shouto,31 Mar 2023
Class 1-A & Todoroki Shouto,31 Mar 2023
Eri & Todoroki Shouto,31 Mar 2023
Aizawa Shouta | Eraserhead & Todoroki Shouto,29 Mar 2023
Todoroki Rei & Todoroki Shouto,29 Mar 2023
Aizawa Shouta | Eraserhead & Todoroki Rei,29 Mar 2023
Aizawa Shouta | Eraserhead & TommyInnit (Video Blogging RPF),29 Mar 2023
